Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
7.8,138,L,Z57,0.007631565,,,,11.6,231,M,Z57,0.004597752,,,,24.8,328.6,L,Z57,0.003517743,,
7.8,200.7,L,Z58,0.004247219,,,,11.6,282.9,L,Z58,0.001221666,,,,25.6,114.7,M,Z58,-0.004276104,,
7.8,217.8,L,Z59,0.004558403,,,,11.6,334.8,M,Z59,0.004139154,,,,25.6,142.6,L,Z59,0.003249674,,
8.5,27.1,M,Z60,0.007404489,,,,12.4,10.9,L,Z60,0.010044281,,,,25.6,224,L,Z60,0.015191003,,
8.5,42.6,L,Z61,0.005376892,,,,12.4,35.7,L,Z61,-0.001645288,,,,26.4,279,L,Z61,-0.002187261,,
8.5,46.5,L,Z62,-0.007492476,,,,12.4,54.3,L,Z62,0.002125235,,,,27.1,63.6,L,Z62,0.000360227,,
8.5,76.7,L,Z63,0.010090754,,,,12.4,70.5,L,Z63,0.006875006,,,,27.1,125.6,S,Z63,0.008538196,,
8.5,82.2,L,Z64,-0.002963749,,,,12.4,113.9,M,Z64,-0.00268162,,,,27.1,177.5,L,Z64,0.002909954,,
8.5,88.4,M,Z65,0.001384045,,,,12.4,206.2,L,Z65,-0.000660717,,,,27.9,157.3,L,Z65,0.00053217,,
8.5,91.5,L,,,,,,12.4,212.4,M,,,,,,27.9,190.7,L,,,,
8.5,100,M,,,,,,12.4,244.9,M,,,,,,28.7,234.1,M,,,,
8.5,109.3,S,,,,,,12.4,272.8,L,,,,,,28.7,261.2,L,,,,
8.5,146.5,L,,,,,,12.4,291.4,S,,,,,,28.7,299.2,L,,,,
8.5,162,L,,,,,,12.4,357.3,M,,,,,,29.8,25.4,L,,,,
8.5,212.4,M,,,,,,13.2,152.7,L,,,,,,30.2,7.8,L,,,,
8.5,222.4,L,,,,,,13.2,196.1,L,,,,,,30.2,34.9,S,,,,
